latitude,longitude,speed,sats
28.074051, -16.689595, 48.1, 4
28.074051, -16.689595, 48.1, 4
28.074047, -16.689620, 47.5, 4
28.074047, -16.689620, 47.5, 4
28.074047, -16.689620, 47.5, 4
28.074047, -16.689620, 47.5, 4
28.074043, -16.689645, 47.1, 4
28.074043, -16.689645, 47.1, 4
28.074043, -16.689645, 47.1, 4
28.074043, -16.689645, 47.1, 4
28.074038, -16.689670, 47.0, 4
28.074038, -16.689670, 47.0, 4
28.074038, -16.689670, 47.0, 4
28.074038, -16.689670, 47.0, 4
28.074038, -16.689670, 47.0, 4
28.074035, -16.689696, 46.8, 4
28.074035, -16.689696, 46.8, 4
28.074035, -16.689696, 46.8, 4
28.074035, -16.689696, 46.8, 4
28.074035, -16.689696, 46.8, 4
28.074031, -16.689722, 47.2, 4
28.074031, -16.689722, 47.2, 4
28.074031, -16.689722, 47.2, 4
28.074031, -16.689722, 47.2, 4
28.074027, -16.689747, 47.1, 4
28.074027, -16.689747, 47.1, 4
28.074027, -16.689747, 47.1, 4
28.074027, -16.689747, 47.1, 4
28.074027, -16.689747, 47.1, 4
28.074024, -16.689772, 46.9, 4
28.074024, -16.689772, 46.9, 4
28.074024, -16.689772, 46.9, 4
28.074024, -16.689772, 46.9, 4
28.074020, -16.689796, 46.5, 4
28.074020, -16.689796, 46.5, 4
28.074020, -16.689796, 46.5, 4
28.074020, -16.689796, 46.5, 4
28.074017, -16.689820, 46.2, 4
28.074017, -16.689820, 46.2, 4
28.074017, -16.689820, 46.2, 4
28.074017, -16.689820, 46.2, 4
28.074017, -16.689820, 46.2, 4
28.074014, -16.689845, 45.8, 4
28.074014, -16.689845, 45.8, 4
28.074014, -16.689845, 45.8, 4
28.074014, -16.689845, 45.8, 4
28.074011, -16.689869, 45.4, 4
28.074011, -16.689869, 45.4, 4
28.074011, -16.689869, 45.4, 4
28.074011, -16.689869, 45.4, 4
28.074011, -16.689869, 45.4, 4
28.074008, -16.689892, 45.1, 4
28.074008, -16.689892, 45.1, 4
28.074008, -16.689892, 45.1, 4
28.074008, -16.689892, 45.1, 4
28.074005, -16.689916, 45.0, 4
28.074005, -16.689916, 45.0, 4
28.074005, -16.689916, 45.0, 4
28.074005, -16.689916, 45.0, 4
28.074005, -16.689916, 45.0, 4
28.074002, -16.689940, 44.6, 4
28.074002, -16.689940, 44.6, 4
28.074002, -16.689940, 44.6, 4
28.074002, -16.689940, 44.6, 4
28.073999, -16.689965, 44.6, 4
28.073999, -16.689965, 44.6, 4
28.073999, -16.689965, 44.6, 4
28.073999, -16.689965, 44.6, 4
28.073996, -16.689989, 44.2, 4
28.073996, -16.689989, 44.2, 4
28.073996, -16.689989, 44.2, 4
28.073996, -16.689989, 44.2, 4
28.073996, -16.689989, 44.2, 4
28.073994, -16.690014, 44.3, 4
28.073994, -16.690014, 44.3, 4
28.073994, -16.690014, 44.3, 4
28.073994, -16.690014, 44.3, 4
28.073991, -16.690038, 44.0, 4
28.073991, -16.690038, 44.0, 4
28.073991, -16.690038, 44.0, 4
28.073991, -16.690038, 44.0, 4
28.073988, -16.690061, 43.6, 4
28.073988, -16.690061, 43.6, 4
28.073988, -16.690061, 43.6, 4
28.073988, -16.690061, 43.6, 4
28.073985, -16.690085, 43.2, 4
28.073985, -16.690085, 43.2, 4
28.073985, -16.690085, 43.2, 4
28.073985, -16.690085, 43.2, 4
28.073983, -16.690109, 43.0, 4
28.073983, -16.690109, 43.0, 4
28.073983, -16.690109, 43.0, 4
28.073983, -16.690109, 43.0, 4
28.073981, -16.690132, 42.5, 4
28.073981, -16.690132, 42.5, 4
28.073981, -16.690132, 42.5, 4
28.073981, -16.690132, 42.5, 4
28.073978, -16.690154, 41.8, 4
28.073978, -16.690154, 41.8, 4
28.073978, -16.690154, 41.8, 4
28.073978, -16.690154, 41.8, 4
28.073975, -16.690177, 41.2, 4
28.073975, -16.690177, 41.2, 4
28.073975, -16.690177, 41.2, 4
28.073975, -16.690177, 41.2, 4
28.073973, -16.690197, 40.0, 4
28.073973, -16.690197, 40.0, 4
28.073973, -16.690197, 40.0, 4
28.073973, -16.690197, 40.0, 4
28.073970, -16.690219, 39.7, 4
28.073970, -16.690219, 39.7, 4
28.073970, -16.690219, 39.7, 4
28.073970, -16.690219, 39.7, 4
28.073968, -16.690239, 38.8, 4
28.073968, -16.690239, 38.8, 4
28.073968, -16.690239, 38.8, 4
28.073968, -16.690239, 38.8, 4
28.073966, -16.690259, 38.2, 4
28.073966, -16.690259, 38.2, 4
28.073966, -16.690259, 38.2, 4
28.073966, -16.690259, 38.2, 4
28.073964, -16.690280, 37.8, 4
28.073964, -16.690280, 37.8, 4
28.073964, -16.690280, 37.8, 4
28.073964, -16.690280, 37.8, 4
28.073963, -16.690299, 37.1, 4
28.073963, -16.690299, 37.1, 4
28.073963, -16.690299, 37.1, 4
28.073963, -16.690299, 37.1, 4
28.073962, -16.690319, 36.2, 4
28.073962, -16.690319, 36.2, 4
28.073962, -16.690319, 36.2, 4
28.073962, -16.690319, 36.2, 4
28.073962, -16.690319, 36.2, 4
28.073962, -16.690338, 35.4, 4
28.073962, -16.690338, 35.4, 4
28.073962, -16.690338, 35.4, 4
28.073962, -16.690338, 35.4, 4
28.073962, -16.690338, 35.4, 4
28.073961, -16.690356, 35.0, 4
28.073961, -16.690356, 35.0, 4
28.073961, -16.690356, 35.0, 4
28.073961, -16.690356, 35.0, 4
28.073962, -16.690374, 34.3, 4
28.073962, -16.690374, 34.3, 4
28.073962, -16.690374, 34.3, 4
28.073962, -16.690374, 34.3, 4
28.073962, -16.690374, 34.3, 4
28.073963, -16.690393, 34.0, 4
28.073963, -16.690393, 34.0, 4
28.073963, -16.690393, 34.0, 4
28.073963, -16.690393, 34.0, 4
28.073964, -16.690411, 33.7, 4
28.073964, -16.690411, 33.7, 4
28.073964, -16.690411, 33.7, 4
28.073964, -16.690411, 33.7, 4
28.073967, -16.690430, 33.4, 4
28.073967, -16.690430, 33.4, 4
28.073967, -16.690430, 33.4, 4
28.073967, -16.690430, 33.4, 4
28.073967, -16.690430, 33.4, 4
28.073970, -16.690449, 33.3, 4
28.073970, -16.690449, 33.3, 4
28.073970, -16.690449, 33.3, 4
28.073970, -16.690449, 33.3, 4
28.073974, -16.690467, 33.0, 4
28.073974, -16.690467, 33.0, 4
28.073974, -16.690467, 33.0, 4
28.073974, -16.690467, 33.0, 4
28.073978, -16.690484, 32.9, 4
28.073978, -16.690484, 32.9, 4
28.073978, -16.690484, 32.9, 4
28.073978, -16.690484, 32.9, 4
28.073983, -16.690500, 32.9, 4
28.073983, -16.690500, 32.9, 4
28.073983, -16.690500, 32.9, 4
28.073983, -16.690500, 32.9, 4
28.073990, -16.690515, 32.8, 4
28.073990, -16.690515, 32.8, 4
28.073990, -16.690515, 32.8, 4
28.073990, -16.690515, 32.8, 4
28.073990, -16.690515, 32.8, 4
28.073997, -16.690530, 32.9, 4
28.073997, -16.690530, 32.9, 4
28.073997, -16.690530, 32.9, 4
28.073997, -16.690530, 32.9, 4
28.073997, -16.690530, 32.9, 4
28.074003, -16.690545, 33.0, 4
28.074003, -16.690545, 33.0, 4
28.074003, -16.690545, 33.0, 4
28.074003, -16.690545, 33.0, 4
28.074010, -16.690562, 33.4, 4
28.074010, -16.690562, 33.4, 4
